Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
KNOP,46.91258823,45.19330837,20.87277258,20.82781715
MRCC,75.44558577,30.80525041,28.5620847,28.5620847
CHMI,84.59385822,-44.5563489,-44.53715121,-31.59717351
CHS,35.04032387,0.10437343,-0.58659142,-0.625848
LADR,86.38741887,27.68507239,27.88716925,24.49206191
CCAP,89.8807795,64.085467,63.87529338,63.09868354
KEN,19.9689983,11.81723088,-13.82936056,-20.63781124
BKEP,13.55539386,9.75691918,4.97884496,4.87104859
AHC,-4.79975917,-4.79975917,10.51487583,6.59016577
CVI,10.59082338,8.7680704,7.71527341,5.97108737
FRO,29.09282352,24.39022607,14.47914077,14.62120373
CLNY,29.22880843,-8.63769473,-67.58703204,-104.79869132
XIN,27.24316923,12.64698554,12.3193053,3.97170113
MDP,55.68431045,11.51592523,4.3831222,3.23087499
ACRE,78.59941934,26.82169877,26.82169877,26.45271092
CDR,35.15373867,5.20515697,1.07792592,0.35655532
CELP,12.26845397,5.88824045,4.89931482,3.98707326
PK,18.19794253,15.21816247,12.45122384,10.81943952
ABR,96.767595,34.73039591,31.04239136,23.44997703
GLOG,50.42526812,44.0416848,-17.53417774,-15.05465596
KOS,23.41564019,17.25787666,1.6764169,-3.72279752
QUAD,12.55128173,2.50130535,-2.57092419,-1.92446356
CPLG,-2.95566502,-16.50246305,-25.61576355,-26.10837438
CRT,,88.21004501,88.21004501,88.21004501
MSB,93.80606212,93.80606212,93.80606212,93.80606212
ARR,86.11287224,-117.36384087,-117.3643105,-117.3643105
HCAP,65.00952988,-11.70570275,-11.70570275,-11.70570275
EPR,64.05618103,31.92856794,30.72236865,31.15854342
SHLX,58.44930417,43.14115308,108.54870775,75.74552684
EARN,66.92770242,311.22919871,311.22919871,311.22919871
CDOR,21.61156757,-6.12505661,-6.10564793,-6.84803002
BGCP,92.29903164,4.3681075,6.54739697,2.6408318
AJX,82.94057918,28.99963446,30.22866659,27.92006823
SNR,17.56261531,-7.78035875,0.4546948,0.40644522
ARI,91.67072218,42.58147495,47.06592018,46.27519702
NMFC,74.72863802,40.57830474,40.57830474,40.57830474
WHF,71.10734429,46.53636145,46.26185047,46.26185047
RVI,28.51338785,8.27387522,20.53282001,20.29122164
SID,31.30793144,17.06549041,5.07095904,6.92276203
HESM,53.09712275,50.78527453,45.43284332,8.38044981
HCFT,94.27528654,15.82312672,15.82312672,15.93410645
INN,21.13951992,6.46698881,15.28352202,14.98531763
