Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
AGR,2.2618,2.2618,2.2612,1942200000,365000000,1529000000,6228000000,2.2616,6228000000,700000000
TDS,1.0614,1.0592,1.0181,1123000000,472000000,1907000000,5176000000,1.0345,5176000000,121000000
GBLI,4.9335,4.9328,4.8851,,,,606369000.004737,4.8843,606369000.004737,70015000.000547
MS,5.2641,5.2617,5.1878,,,,53839000000,5.1902,53839000000,9042000000
GIS,2.92,3.5068,3.4768,3596600000,1419000000,5824000000,16865200000,2.9,16865200000,1752700000
JNPR,1.0052,1.0138,1.0021,696200000,719300000,2655800000,4445400000,0.9908,4445400000,345000000
SON,2.8964,2.8991,2.8839,776036000,247365000,1059555000.0000002,5372826000,2.8839,5372826000,291785000
ASC,-0.6907,-0.6907,-0.6896,53293000,12714499.0001325,34313479.00026801,230042240.00179705,-0.6907,230042240.00179705,-22861257.0001786
RMAX,1.4058,1.4058,1.4028,79116000,,,282293000,1.4014,282293000,25040000
MAA,3.0706,3.0699,3.0668,946673000,127801000,498865000,1642764000,3.0682,1642764000,353292000
ABEV,0.1899,0.1891,0.188,5118170000,2166420093.3259997,7330974855.43558,13334085255.7827,0.1876,13334085255.7827,2986218379.65985
CMI,14.5431,14.4759,14.4167,3179000000,1313000000,5960000000,23571000000,14.4779,23571000000,2260000000
JRSH,0.4565,0.6662,0.6616,9780580,4512703,18777009.0001702,84983661.00077069,0.4512,84983661.00077069,5112269.00004637
PFIN,0.2359,1.8186,1.7806,2355000,5349000,23187000,64995000.00000001,0.2296,64995000.00000001,856000
FLO,0.7776,0.7777,0.7763,416247000,392261000,1820330000,4123974000,0.7762,4123974000,164538000
K,2.8152,2.8096,2.805,2017000000,1089000000,4428000000,13578000000,2.7988,13578000000,960000000
DGICA,1.6837,1.685,1.6747,,,,803282222,1.6711,803282222,47151744
CVR,0.5572,0.5572,0.5572,1873820,885030,5744530,32873002,0.5572,32873002,538314
PHX,-2.4334,-3.1195,-3.1195,13934500,2273883,8369470,40957114,-2.4334,40957114,-40744938
HOFT,3.3841,2.0961,2.092,39976000,27803000,145103000,683501000,3.3772,683501000,39794000
NFBK,0.86,0.8604,0.8535,,,,179951000,0.8531,179951000,40235000
PSO,0.4335,0.4298,0.4295,753699000,,2565511090.75911,4935834117.42764,0.4332,4935834117.42764,336795090.979813
JCI,0.5447,0.3997,0.3895,2344000000,1805000000,7701000000,23968000000,0.5422,23968000000,474000000
TRMK,2.328,2.3285,2.323,,,,677370000,2.3229,677370000,150460000
ETR,6.3589,6.3373,6.2794,3951840000,586722000,2387049000,10769673000,6.3007,10769673000,1258244000
MBCN,1.9645,1.9645,1.9586,,,,59366000,1.9547,59366000,12711000
PETS,1.8445,1.2633,1.2626,32528000,17135000,93089000,283419000,1.8418,283419000,37740000
FBSS,1.8026,1.8026,1.7991,,,,35380000,1.7991,35380000,6820000
GGAL,5.1148,6.1855,,,,,2233877345.96463,,2233877345.96463,729759918.569901
MXIM,3.0094,2.8842,2.8499,764884000,359778000,1497846000,2314280000,2.9683,2314280000,827486000
CWBC,0.9401,0.9401,0.9315,,,,49313000,0.9282,49313000,7963000
CATC,5.4106,5.4222,5.3826,,,,132740000.00000001,5.3729,132740000.00000001,25047000
NJR,1.8994,1.9077,1.8989,207369000,46863000,171659000,2597777000,1.8915,2597777000,169505000
HA,4.7219,4.7307,4.7192,481076000,139245000,607646000,2826921000,4.7109,2826921000,223984000
MAN,7.7746,7.7961,7.7403,797700000,859600000.0000011,3375100000,20863500000,7.723,20863500000,465700000
SNA,12.5862,12.5828,12.4155,1054700000,512700000.00000006,2089900000,4067700000,12.4061,4067700000,693500000
CFFI,5.4652,5.4661,5.4661,,,,127022000,5.4652,127022000,18859000
ESS,6.672,6.6709,6.6605,1026030000,148784000,564482000,1478826000,6.662,1478826000,439286000
EQH,-3.5109,-3.5131,-3.5143,,,,13591000000,-3.5109,13591000000,-1733000000
