Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
AMPY,-1.2012,-3.1418,-3.1418,47304000,19560000,71729000,275575000,-1.2012,275575000,-35197000
GLOP,-1.4339,-1.402,-1.4254,269380000,50821000.0005294,205328000.00160405,378687000.002958,-1.4339,378687000.002958,-37419000.0002923
ENLC,-2.4128,-2.383,-2.3831,1026300000,158600000,561900000,6038500000,-2.4128,6038500000,-1119300000
PEI,-0.5202,-0.5318,-0.5328,151794000,14345000,54271000,333592000,-0.5202,333592000,-11755000
SMLP,-4.837,-4.6178,-4.6178,229350000,47922000,172297000,444748000,-4.837,444748000,-369845000
RAND,-0.304,-0.4639,-0.4639,-2586400,2399956,3719679,3842457,-0.304,3842457,-2289670
DCP,-1.0451,-1.0957,-1.0957,613000000,108000000,484000000,7638000000,-1.0451,7638000000,-101000000
NBLX,3.183,3.3445,3.3426,354719000,81433000,308755000,703801000,3.1815,703801000,146029000
GCI,-1.7709,-1.4625,-1.4625,179025000,257803999.99999997,676434000,1867909000,-1.7709,1867909000,-119842000
ROYT,0.3271,0.3267,0.3267,12596000,3308000,14040000,15121000,0.3271,15121000,12619000
WES,1.5929,1.5634,1.5634,1485430000,320038000,1178120000,2746841000,1.5929,2746841000,662325000
GEL,0.1757,0.1756,0.1756,608546000,84269999.9999999,332025000,2480820000,0.1757,2480820000,95999000
ENBL,0.8257,0.8251,0.8251,1072000000,182000000,809000000,2944000000,0.8238,2944000000,396000000
PER,0.3293,0.3293,0.3293,,4955000,21331000,22442000,0.3293,22442000,17289000
NGL,2.0137,-2.3075,-2.3131,554959000,216131000,485498999.999999,24016907000,2.0137,24016907000,359660000
AM,-0.8033,-0.687,-0.6874,519951000,157014000,501057000,849598000,-0.8033,849598000,-355114000
CEQP,3.1337,3.1333,2.9134,123000000,63300000,169400000,2929600000,2.9259,2929600000,285100000
GMLP,0.2566,0.2574,,217634000,39533000,147807000,299652000,,299652000,17805000
TRGP,-1.4366,-1.4354,-1.4354,1490500000,325100000,794600000.0000011,8677600000,-1.4366,8677600000,-209200000
OMP,5.7523,4.1728,4.1703,264233000,74864000,263781000,410191000,5.75,410191000,115184000
WPG,-0.05,-0.0525,-0.0526,204208000,47028000,152860000,661484000,-0.05,661484000,4274000
NYMT,0.6542,0.6511,0.6334,738604000,208101000,740498000,755202000,0.641,755202000,173736000
VOC,0.695,0.695,0.695,,,,12661799,0.695,12661799,11815000
MITT,2.3857,2.4026,2.4009,203533000,61105000,135853000,147297000,2.3849,147297000,92922000
USDP,0.2162,0.2161,0.2161,41297000,8944000,39477000,113656000,0.2162,113656000,5720000
ARLP,3.0669,3.0589,3.0589,583763000,53760000,347685000,1961720000,3.0669,1961720000,392923000
TCRD,-0.7859,-0.7993,-0.7993,-9740000,3037000,6041000,12948000,-0.7859,12948000,-24610000
EQM,0.5785,0.9222,0.8295,1354260000,302988000,1188457000,1630242000,0.5579,1630242000,183373000
PBFX,1.7119,1.6953,1.6918,198893000,48504000,182997000,340212000,1.7088,340212000,100288000
TGS,1.7088,1.4219,,427454000,99259244.7197859,497769592.597277,1005910765.98445,,1005910765.98445,265246643.383494
MVO,1.05,1.05,1.05,,2714236,13048187,12994052,1.05,12994052,12075000
XAN,0.815,0.815,0.8089,119737000,32326000,135852000,144853000,0.8088,144853000,35966000
ICMB,-1.0669,-0.3332,-0.3332,5739950,7221783,4121190,12414849,-1.0669,12414849,-14542229
ETRN,-0.7994,-0.799,-0.7991,1351960000,302737000,1184253000,1630242000,-0.7994,1630242000,-203743000
USAC,-0.0996,-0.0996,-0.0997,406665000,63351000,239615000,698365000,-0.0996,698365000,39132000
TWO,0.9266,0.8959,0.8203,,241434000,1763875000,1898584000,0.9266,1898584000,323962000
DKL,2.608,2.608,2.6074,158807000,35613000,149477000,591203000,2.6074,591203000,63669000
GPP,1.7575,1.7575,1.7575,52909000,13293000,53288000,82387000,1.7575,82387000,40649000
ECT,0.142,0.142,0.142,,,,4145585,0.142,4145585,2500668
UAN,-0.3087,-0.3087,-0.3087,110616000,-2123000,56606000,404177000,-0.3087,404177000,-34969000
ANH,-0.6543,-0.6556,-0.6672,65891000.00000001,35579000,155245000,163461000,-0.6543,163461000,-55419000
WMC,1.3728,1.3879,1.3879,230604000,102194000,127275000,134629000,1.3728,134629000,70396000
VET,0.16348564,0.16595334,0.16363987,686689030.2679776,57217659.533449,235842683.63215727,1347577405.0510893,0.16202044,1347577405.0510893,25293233.08270677
CCR,1.6213,1.6215,1.6197,92083000,11165000,59150000,327049000,1.6191,327049000,44783000
NNA,-4.7349,-4.891,-4.8971,125121000,58448000.0006089,179403000.001401,280117000.00218797,-4.7349,280117000.00218797,-65441000.00051119
SVC,1.5808,1.5812,1.5807,799969000,115325000,468416000,2316148000,1.5806,2316148000,259750000
PVL,0.2885,0.2884,0.2884,9337160,2531609,10069968,9498646,0.2885,9498646,9519246
BPT,2.2337,2.2337,2.2337,47922000,,,49007000,2.2337,49007000,47802000
RTLR,0.643,0.9029,0.8934,263200000,67556000,233527000,447673000,0.643,447673000,28051000
CPTA,-1.7153,-1.7178,-1.7178,,8887000,15103000,24279000,-1.7153,24279000,-27647000
TRTX,1.7269,1.726,1.726,,76172000,311014000,341568000,1.7269,341568000,125637000
GARS,-1.1763,-1.1763,-1.1763,-3776000,-11809000,2680000,11177000,-1.1763,11177000,-18879000
GECC,-0.7363,-0.7861,-0.7861,,5396000,21606000,28338000,-0.7363,28338000,-7547000
NS,-2.302,-2.31,-2.3101,693045000,153548000,498771000,1498021000,-2.302,1498021000,-105693000
MAC,0.7608,0.7631,0.7631,606448000,64670000,229524000,921135000,0.7608,921135000,107539000
BHR,-0.3232,-0.3241,-0.3898,109921000,2683999.99999999,11725000,454612000,-0.3232,454612000,-295000
AHT,-1.5774,-1.5782,-1.5782,399177000,31170000,144416000,1513754000,-1.5774,1513754000,-114911000
EFC,1.7609,1.7798,1.7798,,44922000,130190000,152535000,1.7609,152535000,57933000
TRMT,0.7766,0.7627,0.7623,11888000,3256000,14018000,15475000,0.7766,15475000,4841000
BSM,0.9388,0.9384,0.9083,350928000,75531000,303480000,492776000,0.9382,492776000,214368000
MTL/P,0.0373,0.0316,0.0316,748839000,350187909.62365603,1668847385.2577899,4583403368.188661,0.0373,4583403368.188661,37230773.19447711
NRZ,1.3455,1.3482,1.3477,1618470000,817762000,2451706000,2882289000,1.3448,2882289000,563296000
MDRR,-0.8188,,-0.6701,2618280,467573,1148315,8512059,-0.8188,8512059,-3015718
OFS,0.7148,0.715,0.715,25577000,6468000,33648000,48621000,0.7148,48621000,9553000
VNOM,0.7496,0.8069,0.8064,267245999.99999997,58827000,196557000,293811000,0.749,293811000,46281000
AI,0.312,0.3532,0.3495,,18045000,192744000,192744000,0.3109,192744000,13742000
ORC,0.4308,0.4384,0.4384,,30103000,124922000,131447000,0.4308,131447000,24265000
HMLP,1.1684,1.2473,,104590000,23993000,92974000,145321000,,145321000,52741000
NHTC,-0.5161,-0.5227,-0.5227,-4448000,12636000,57123000,77614000,-0.5161,77614000,-5611000
PTMN,-0.3321,-0.3389,-0.3389,-1896560,6410315,6668462,10876089,-0.3321,10876089,-12499961
PNNT,0.2352,0.4236,0.4236,,7961036,-19780929,3590996,0.2352,3590996,15924806
FLMN,0.3102,0.3124,0.3124,49969000,8616000,51464000,68463000,0.3102,68463000,14235000
GPMT,1.3207,1.3235,1.3166,207458000,59878000,228433000,247467000,1.3207,247467000,70214000
OXY,-1.2168,-0.8904,-0.8935,6997000000,-291000000,4132000000,18696000000,-1.2168,18696000000,-667000000
NMM,-5.62,-5.6042,-5.6042,115854000,42144000.00043901,146808000.001147,219379000.001714,-5.62,219379000.001714,-62134000.0004854
PAA,2.7056,2.7044,2.6337,2247000000,506000000,1981000000,33351000000,2.6488,33351000000,2165000000
SOHO,-0.4333,-0.4459,-0.4459,38929700,3759558,25300608,185788133,-0.4333,185788133,1909444
NRT,0.8246,0.6842,0.6842,,771999,7655812,8359163,0.8246,8359163,7578065
ET,1.3653,1.365,1.36,10552000000,1930000000,8105000000,54216000000,1.36,54216000000,3588000000
CGBD,1.019,1.0126,1.0126,,19598000,128195000,182922000,1.019,182922000,61330000
HEP,2.1328,2.1328,2.1328,360529000,68169000,274076000,532777000.00000006,2.1328,532777000.00000006,224884000
FSK,0.474,0.469,0.469,,137000000,516000000,699000000,0.474,699000000,246000000
VEON,0.3556,0.3567,0.3567,3674510000,1173942985.64394,4791780013.488,8877413515.791,0.3556,8877413515.791,622009905.597
MPLX,1.032,1.2,1.1979,3924000000,947000000,3790000000,8751000000,1.0309,8751000000,1033000000
OCCI,-3.0213,-3.0213,-3.0213,,,6186532,8867847,-3.0213,8867847,-7858509
PAGP,1.9702,2.0124,2.0074,2243000000,505000000,1978000000,33351000000,1.9588,33351000000,331000000
SACH,0.5038,0.3961,0.3961,9969030,3347505,11605977,11638506,0.5038,11638506,7771785
BKCC,-0.1,-0.1,-0.1257,,13359422,37205163,53233280,-0.1,53233280,-6886740
KRP,-3.918,-3.7425,-3.7425,71580300,10976000,50119275,109957591,-3.918,109957591,-69153946
CLNC,-3.2456,-3.2413,-3.2413,304258000,59403000,235066000,558604000,-3.2456,558604000,-416699000
TPVG,1.2783,1.2799,1.2799,,18118000,54294000,72766000,1.2783,72766000,31758000
PFLT,0.2944,0.4228,0.4228,40940700,20154994,43559635,61523313,0.2944,61523313,11416106
PRT,1.2815,0.8957,0.8957,,,,16238785,1.2815,16238785,15589855
MMLP,-4.4359,-4.4102,-4.4102,113897000,33339000,90087000.0000001,847118000,-4.4359,847118000,-171488000
SKT,0.9322,0.9281,0.9281,264923999.99999997,50864000,199405000,481497000,0.9322,481497000,86519000
CPLP,0.6829,-7.2395,-7.2395,83773000,11475000.0001195,45634000.0003566,122754000.000959,0.6829,122754000.000959,24185000.0001889
GLP,0.8211,0.8214,0.8091,231892000,63486000,285837000,13081730000,0.8084,13081730000,34488000
RWT,1.6256,1.5239,1.4056,674869000,214972000,733418000,753527000,1.4631,753527000,164386000
FDUS,1.9812,1.9812,1.9812,66558000.00000001,1364000,51209000,75935000,1.9812,75935000,48466000
SUN,2.8397,2.8399,2.8129,715000000,239000000,1033000000,16596000000,2.8126,16596000000,235000000
NCMI,0.4667,0.4662,0.4628,203600000,100800000,270300000,444800000,0.4641,444800000,36100000
SRLP,1.1036,1.1036,1.1022,100659000,58582000.0000001,551073000,3502410000,1.102,3502410000,25093000
MARPS,0.317,0.2568,0.2568,513600,,,860543,0.317,860543,634072
CNXM,2.4418,2.4417,2.44,237193000,63858000,234519000,305797000,2.4401,305797000,155604000
RC,1.7213,1.8492,1.8485,225846000,83284000,292532000,388446000,1.7198,388446000,72315000
QEP,-0.4093,-0.4109,-0.4109,742000000,78900000,314400000,1206200000,-0.4093,1206200000,-97300000
TCPC,0.5204,0.5204,0.5204,,-40087287,70620721,118538866,0.5204,118538866,30580789
CAPL,0.5092,0.5092,0.5089,88755000,19633000,104105000,2149429000,0.5087,2149429000,17543000
BRY,0.535,0.5385,0.5372,251202000,66730000.00000001,245481000,597403000,0.5313,597403000,43539000
DMLP,1.4954,1.4995,1.4995,66066000,14297000,58851000,78799000,1.4954,78799000,51032000
KNOP,1.5538,1.7446,1.7446,217516000,32108000.0003685,132529000.000217,282502000.000462,1.5538,282502000.000462,58001000.0000949
MRCC,0.9398,0.9398,0.9398,40991000,12562000,50754000,67272000,0.9398,67272000,19214000
CHMI,-3.1085,-3.1172,-3.1174,,17471000,118311000,135433000,-3.1085,135433000,-42793000
CHS,-0.111,-0.1108,-0.1108,142770000,172587000,714278000,2037875000,-0.111,2037875000,-12754000
LADR,1.163,1.1565,1.1444,384337000,118881000,432588000,501870000,1.1527,501870000,122645000
CCAP,1.69,1.75,1.75,43098700,7235200,41705727,46401163,1.69,46401163,29278523
KEN,8.1202,-1.0319,-1.0319,74023000,25000000,74081000,364012000,8.1202,364012000,437078000
BKEP,-0.1727,-0.1729,-0.1729,61805000,13017000,50300000,371070000,-0.1727,371070000,18075000
AHC,-1.1662,0.6008,0.6008,1005000,-3050000,-9911000.00000001,202287000,-1.1662,202287000,-25363000
CVI,3.7811,3.7811,3.7811,845000000,119000000,674000000,6364000000,3.7811,6364000000,380000000
FRO,0.8064,0.7856,0.7346,351343000,147358000,244118000,922928000,0.7806,922928000,139972000
CLNY,-5.4497,-5.4003,-5.4003,875748000,138918000,541568000,2161270000,-5.4497,2161270000,-2510190000
XIN,1.1479,1.759,1.7375,,122835218.205207,614925962.969015,2215561222.7606997,1.1301,2215561222.7606997,72969006.751164
MDP,-0.7064,-0.5887,-0.5893,616900000,468800000,1774900000,3183700000,-0.7064,3183700000,46300000
ACRE,1.293,1.293,1.2823,101175000,27744000,110429000,139842000,1.2823,139842000,36991000
CELP,0.9869,0.9854,0.6627,29187000,12374000,49276000,401648000,0.6496,401648000,16014000
CDR,-0.1185,-0.1186,-0.1186,78128000,8263000,51471000,145279000,-0.1185,145279000,518000
PK,1.4387,1.4195,1.4129,693000000,140000000,493000000,2816000000,1.4319,2816000000,305000000
ABR,1.304,1.2967,1.2655,385555000,130627000.00000001,530980000,548710000,1.271,548710000,128627999.99999999
GLOG,-1.3695,-1.3694,-1.3694,462520000,94528000.0009852,337162000.002634,668637000.005224,-1.3695,668637000.005224,-100661000.000786
KOS,-0.139,-0.139,-0.1406,822428000,68472000,350826000,1498255000,-0.139,1498255000,-55777000
QUAD,-3.126,-3.1246,-3.1269,319400000,151800000,525299999.99999994,3923400000,-3.126,3923400000,-156300000
CPLG,-3.7128,-3.737,-3.737,116000000,-23000000,-24000000,812000000,-3.7128,812000000,-212000000
CRT,0.8762,0.8762,0.8762,5621750,,,5959675,0.8762,5959675,5257032
MSB,3.4725,2.4206,2.4206,31758800,6150196,46959743,47293765,3.4725,47293765,45559044
ARR,-4.5915,-4.6628,-4.6702,38325000,88954000,183360000,212931000,-4.5915,212931000,-249905000
HCAP,-0.1973,-0.2009,-0.2009,1947760,78723,6700226,10306531,-0.1973,10306531,-1206455
EPR,1.9054,2.3108,2.3097,534384000,111504000,435155000,654385000,1.9045,654385000,170364000
SHLX,1.6623,1.6633,1.6633,266000000,71000000,294000000,503000000,1.6623,503000000,381000000
EARN,1.786,1.7864,1.7864,,-7276000,4786000,7151000,1.786,7151000,22256000
CDOR,0.4005,-0.4057,-0.4057,14045000,2543000,14574000,65057000,0.3966,65057000,5298000
BGCP,0.1618,0.1663,0.1593,230686000,448165000,1954105000,2116553000,0.1592,2116553000,55707000
AJX,1.7437,1.7571,1.5884,96881000,23019000,102104000,123105000,1.5942,123105000,34369000
SNR,-0.0048,-0.0048,-0.012,133868000,18698000,71465000,345703000,-0.0048,345703000,2014000
ARI,1.4146,1.4282,1.3998,381169000,112358000,448312000,489046000,1.404,489046000,226307000
NMFC,1.321,1.3543,1.2287,,54778000,207295000,277397000,1.2236,277397000,112563000
WHF,1.5011,1.501,1.501,44491000,13600000,47405000,66664000,1.5011,66664000,30841000
RVI,2.4567,2.4514,2.4514,135076000,14428000,65617999.99999999,231970000,2.4567,231970000,46697000
SID,0.3286,0.3237,0.3237,1506110000,492434655.261695,2016971629.87886,6448161356.046511,0.3286,6448161356.046511,453530569.685898
HESM,3.7056,1.81,1.8072,542800000,123300000,429000000,848300000,3.7056,848300000,66700000
HCFT,0.1125,0.1125,0.1125,29849000,9810497,36972007,39217072,0.1125,39217072,6248890
INN,0.6494,0.6485,0.6482,175223000,21902000,115975000,548617000,0.6491,548617000,82301000
GEO,1.3989,1.3989,1.3944,431238000,110045000,486339000,2477922000,1.3964,2477922000,166603000
CIM,1.8212,1.8212,1.8093,,336919000,940103000,987321000,1.8091,987321000,413551000
MIC,1.8102,1.8119,1.7932,553000000,152000000,665000000,1727000000,1.8096,1727000000,156000000
DHC,-0.3714,-0.3713,-0.3713,452266000,59964000,220624000,991928000,-0.3714,991928000,-88234000
SBRA,0.3686,0.3483,0.3445,544483000,81421000,377260000,666773000,0.3668,666773000,68996000
BGFV,0.4002,0.4,0.3995,50691000,77037000,312022000,996495000,0.3993,996495000,8445000
HNRG,-1.9485,-1.9472,-1.9472,55497000,4443000,18501000,317436000,-1.9485,317436000,-58947000
IEP,-5.38,-5.4887,-5.4887,1648000000,1264000000,2468000000,11217000000,-5.38,11217000000,-1076000000
ATV,0.3046,2.0345,,,6317766.697445,27054685.07201,37549024.376753,,37549024.376753,7860938.357886
CXW,1.5869,1.5869,1.5853,430842000,98482000,413348000,1980689000,1.5851,1980689000,188886000
SAR,2.6267,4.3064,4.3064,51173500,19130830,38916107,52582268,2.6267,52582268,18509370
NLY,-1.6025,-1.591,-1.591,651218000,1169293000,1790823000,1814523000,-1.6025,1814523000,-2162865000
KSS,4.4013,4.41,4.4027,2279000000,2200000000,6917000000,19974000000,4.3734,19974000000,691000000
MVC,0.9172,1.3419,1.3419,33151700,7841998,18942586,23429100,0.9172,23429100,16316205
SIG,1.4043,1.3985,1.0868,706700000,901300000,2230100000,6137100000,1.4015,6137100000,105500000
AFIN,-0.0292,-0.0287,-0.0289,185381000,23708000,99485000,303083000,-0.0292,303083000,4147000
MUR,7.0109,7.1043,7.0745,1664270000,161908000,752163000,2817111000,6.976,2817111000,1149732000
TGA,-0.0563717,-0.05521496,-0.05521496,73381068.05475226,4612321.60936225,55569555.79722174,143353020.58606824,-0.0563717,143353020.58606824,-4087877.72128643
MNRL,0.2647,0.2466,0.2445,54335000,19546000,59181000,101515000,0.2647,101515000,6053000
HIHO,-0.1657,-0.0199,-0.0199,,1211000.00000013,3580000.00000466,14277000.0000185,-0.1657,14277000.0000185,-630000.00000082
OKE,3.089,3.0943,3.0785,2343120000,517184999.99999994,1985739000,10114022000,3.075,10114022000,1278577000
SCM,1.4466,1.4825,1.4825,42384900,12188928,60207671,78477792,1.4466,78477792,26438186
SPH,1.1071,1.3144,1.2974,271570000,76352000,229896000,1267705000,1.1005,1267705000,68632000
NRP,-4.3531,-4.3516,-5.8127,160880000,32460000,170178000,210348000,-4.3531,210348000,-53369000
AROC,0.6981,0.6796,0.6794,394451000,84601000,321163000,965485000,0.6979,965485000,95982000
PBF,2.66,2.6593,2.6364,1029400000.0000002,230500000,865800000.000001,24508200000,2.6442,24508200000,318900000
HP,-0.3366,-0.2274,-0.2285,740238000,84775000.0000001,435301000,2798490000,-0.3366,2798490000,-36758000
FUN,3.0588,3.0449,3.0125,484209000,65687000,536005000,1474925000,3.0281,1474925000,172363000
PSEC,0.3948,0.3679,,299546000,119312000,518403000,718451000,,718451000,144487000
STWD,1.8107,1.8051,1.7886,987828000,279532000,961880000,1318437000,1.7885,1318437000,505791000
HTGC,1.713,1.733,1.7262,228456000,72095000,277057000,284397000,1.7056,284397000,173236000
SFL,0.829,0.8033,,321076000,56595000,214898000,458849000,,458849000,89177000
BPMP,1.602,1.6021,1.602,89077000,28932000,104107000,128467999.99999999,1.602,128467999.99999999,167884000
ADES,1.9575,1.9527,1.9323,-7350000,2474000,13272000,70086000,1.9343,70086000,35493000
TEO,-0.2114,-0.1935,,1414260000,202094882.914211,1373286781.76068,4909753475.42186,-0.2114,4909753475.42186,-91059455.06764928
PBT,0.4167,0.4167,0.4167,,,,20510433,0.4167,20510433,19421131
EPM,0.4637,0.3089,0.3088,18443700,3685961,22709754,43229621,0.4636,43229621,15377066
FTAI,2.5964,2.5962,2.5939,246550000,49222000,121715000,585955000,2.5953,585955000,225108000
BCSF,1.9008,1.9017,1.9017,164578000,40896000,166633000,205766000,1.9008,205766000,98085000
AGNC,1.1617,1.1587,1.1548,2837000000,1330000000,1082000000,1082000000,1.16,1082000000,688000000
BPY,1.8927,1.8955,1.8847,4053000000,1219000000,4676000000,8203000000,1.8835,8203000000,949000000
SLRC,1.3255,1.3255,1.3255,,25354000,104654000,154804000,1.3255,154804000,56016000
GNL,0.3984,0.3978,0.3921,229029000,29329000,116173000,308103000,0.3923,308103000,45816000
BRMK,0.0729,0.0286,0.0286,-4680200,0,0,0,0.0729,0,3145030
BBBY,-1.0218,-6.2693,-6.2693,409303000,913189000,4103979999.999999,12028797000,-1.0218,12028797000,-137224000
PLYM,-2.8839,-3.3651,-3.3651,40558000,3388000,10672000,75958000,-2.8839,75958000,-10659000
GSBD,0.8967,0.8966,0.8966,73331000,31797000,83786000,108279000,0.8967,108279000,36148000
BPYU,3.2031,4.695,-4.286,1625580000,151934000,457933000,1549064000,1.32,1549064000,192450000
DX,-7.0125,-6.7981,-6.7981,,41961000,164413000,164413000,-7.0125,164413000,-152668000
CINR,2.467,2.4772,2.4744,132900000,28100000,130400000,522799999.99999994,2.467,522799999.99999994,48600000
APTS,-2.7343,-2.7327,-2.7327,288886000,40675000,147374000,465616000,-2.7343,465616000,-7261000
LMRK,0.326,0.3262,0.3262,42424000,11175000,43122000,58450000,0.326,58450000,20146000
GLAD,0.6788,0.8267,0.8267,36698000,4014000,22702000,33647000,0.6788,33647000,19869000
SPG,6.7653,6.765,6.765,4172370000,931143000,3412255000,5673907000,6.7653,5673907000,2086701000
CUK,4.3333,,2.7016,,,5756000000,20825000000,4.32,20825000000,2990000000
SHI,0.0297,0.0297,0.0297,,,2397301945.73807,14522164801.703003,0.0297,14522164801.703003,320370848.84665096
TPCO,-0.1416,-0.5566,-0.5569,74854000,54585000,188267000,983149000,-0.1416,983149000,-5069000
OVV,0.1792,0.1507,0.1507,3149000000,416000000.001212,1702000000.00021,7087000000.00086,0.1792,7087000000.00086,234000000.000028
NEWT,2.1285,2.1252,,62353000,25254000,90036000,109696000,,109696000,41135000
MNDO,0.2565,0.2568,0.2548,5191000,3311000.00000364,12442000.0000014,22664000.0000025,0.2537,22664000.0000025,5065000.00000055
SITC,0.3311,0.3329,0.3318,308938000,51368000,205352000,506607000,0.3307,506607000,100012000
FSI,0.2141,0.1006,0.0993,2954350,1625853,2824376,17829518,0.2108,17829518,2490268
CORR,-0.3969,-0.3854,-0.3854,70106500,14687079,58121384,85945570,-0.3969,85945570,4079495
CSWC,1.9763,0.7586,0.7586,33223000,56441000,71342000,72735000,1.9755,72735000,33058000
RPT,1.0561,1.0556,0.9743,136262000,21439000,85249000,236205000,1.0371,236205000,90978000
SUNS,1.4301,1.4301,1.4301,,8672000,30264000,35329000,1.4301,35329000,22944000
SLB,-7.3191,-7.3182,-7.3302,6523000000,1101000000,4212000000,32917000000,-7.3191,32917000000,-10137000000
LOAN,0.4654,0.4654,0.4653,6134630,1854882,7334541,7339705,0.4653,7339705,4494510
HRZN,1.4466,1.4244,1.4244,27828000,9282000,27371000,38952000,1.4466,38952000,19498000
PMD,0.2796,0.2798,0.2789,5912000,3485000,16444000,37678000,0.2791,37678000,1542000
AB,2.488,2.4878,2.4875,0,0,0,0,2.4877,0,238563000
KREF,1.5758,1.5757,1.5728,244836000,67481000,255358000,275765000,1.5729,275765000,89965000
IVZ,1.2899,1.2926,1.2853,1766000000,1162700000,4081200000,6151800000,1.282,6151800000,688300000
RPAI,0.1502,0.1503,0.1503,299056000,44106000,171486000,484569000,0.1501,484569000,31992000
APLE,0.7678,0.7678,0.7678,432142000,75543000,391201000,1270266000,0.7678,1270266000,171917000
STAY,0.3735,0.3601,0.3592,526568999.99999994,85638000,425700000,1218219000,0.3725,1218219000,69668000
OLP,0.8792,0.8787,0.8757,55631000,12092000,47655000,82841000,0.8779,82841000,16784000
KRG,-0.0064,-0.0059,-0.0072,204881000,23672000,99323000,316973000,-0.0064,316973000,-534000
PACW,3.8957,3.8962,3.8962,,,,1362255000,3.8957,1362255000,463454000
GNK,-1.3405,-1.3413,-1.3414,72317000,17774000,31241000,389496000,-1.3405,389496000,-55985000
BLX,2.1744,2.1745,,,,,290824000,,290824000,86053000
BMA,1.3226,9.8777,,,,,3023294050.38413,,3023294050.38413,845137799.535963
EEX,-0.6972,-0.7028,-0.7111,113700000,14800000,188700000,360900000,-0.6972,360900000,-50000000
WBK,1.382,1.3809,1.3315,,,,26112312356.0454,1.3333,26112312356.0454,4768029449.06454
IGT,-0.0931,-0.0929,-0.0936,1501140000,482478000.005029,1852158000.01448,4785806000.03739,-0.0931,4785806000.03739,-19025000.0001486
OUT,0.9698,0.966,0.9608,502600000,183000000,626600000,1782200000,0.9651,1782200000,138200000
MMP,4.4645,4.4644,4.4604,1352400000,360817000,1302911000,2800474000,4.4609,2800474000,1020849000
EPD,2.0852,2.0852,2.0756,7394200000,1399600000,5512800000,32525500000,2.0728,32525500000,4563600000
CNQ,3.50684403,3.50345094,3.49419703,8735685367.264315,953923269.7127434,4749566223.250434,17637169847.696163,3.50106034,17637169847.696163,4176595334.4900713
MTR,1.191,1.0769,1.0769,,,,2355270,1.191,2355270,2219438
BGSF,1.2938,1.2939,1.2779,24601200,18015413,75861009,294313548,1.2798,294313548,13246990
OCSI,0.2367,0.8928,0.8928,41041200,8386426,38364539,49166483,0.2367,49166483,6973982
GPS,0.9335,0.9234,0.9181,1559000000,1687000000,6126000000,16383000000,0.9286,16383000000,351000000
RRD,-1.309,-1.3047,-1.3047,414700000,280500000,1021700000,6276200000,-1.309,6276200000,-93200000
WLKP,1.7682,1.7703,1.7703,461011000,99043000,381927000,1091035000,1.7682,1091035000,60981000
CNK,1.6354,1.6335,1.6308,668551000,128388000,580780000,3283099000,1.6312,3283099000,190212000
SPKE,0.0251,0.0175,-0.0828,89895000,55569000,182442000,813643000,0.0246,813643000,8450000
BXMT,2.349,2.3523,2.3523,,200547000,804439000,882874000,2.349,882874000,305567000
BGS,1.175,1.1732,1.1727,273988000,89675000,369308000,1660414000,1.1745,1660414000,76389000
RDS.B,3.9484,3.9292,3.9006,48063300000,5465200554.36599,30767840761.375797,342529079892.897,3.9161,342529079892.897,15908583309.3723
CVA,0.0763,0.0763,0.0721,323000000,77000000,216000000,1870000000,0.0752,1870000000,10000000
GOOD,-0.1521,-0.1184,-0.1184,89165000,9900000,39085000,115487000,-0.1521,115487000,6062000
MFGP,-0.7928,-0.7946,-0.7946,1300480000,,2086055541.28908,3355889485.17938,-0.7928,3355889485.17938,-299769007.590835
WMB,0.6988,0.6989,0.6979,4115000000,746000000,2932000000,8201000000,0.6977,8201000000,850000000
CCL,4.3333,,2.7016,,,5758000000,20825000000,4.3208,20825000000,2990000000
GOGL,0.2592,0.2602,0.2597,195670000,54412000,115949000,705799000,0.259,705799000,37189000
APAM,2.6479,2.6209,2.6209,274953000,,,809322000,2.6479,809322000,135382000
ORCC,1.5341,1.2916,1.2916,635419000,187529000,658994000,720652000,1.5341,720652000,498001000
NEXA,-1.1056,-1.1069,-1.1069,361690000,75436000.0001206,269502000.000259,2332306000.00222,-1.1056,2332306000.00222,-146626000.00014
WPP,2.8082,2.8145,2.7909,2711160000,,3073255205.19077,16883257248.2422,2.7846,16883257248.2422,702039161.235573
VTR,1.1832,1.1941,1.1815,1913840000,277240000,1150203000,3872750000,1.1707,3872750000,433016000
TSLX,2.3397,2.3403,2.3403,209571000,47132000,196109000,253424000,2.3397,253424000,154583000
CMO,-0.6177,-0.6756,-0.6765,239581000,89397000,231067000,231176000,-0.6177,231176000,-35438000
VER,-0.3695,-0.3795,-0.387,1039849999.9999998,157403000,623013000,1237277000,-0.3695,1237277000,-300353000
BRG,-0.9141,-0.8944,-0.906,104982000,14373000,60171000,209971000,-0.9141,209971000,35790000
AEG,0.8315,0.8313,,,,,2715297175.17693,,2715297175.17693,1710211905.88225
RHP,2.825,2.8226,2.7996,485208000,83068000,308840000,1606471000,2.8051,1606471000,145794000
OCSL,0.895,0.7966,0.7966,142927000,18974000,127146000,168507000,0.895,168507000,126160000
